STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
10355,27012557,7.80,7.75,,,8.25,,,,3.40,N1
10356,27012558,,3.50,,,,3.75,5.50,,,
10357,27012559,8,8,,,,,,,5.20,N1
10358,27012560,7.20,8.25,,,,,,,,
10359,27012561,,,,,,6.50,7.25,7.75,,
10360,27012562,,,,,,2.25,1.75,3,,
10361,27012563,,5.25,,,,5.75,4.75,,,
10362,27012564,,3.25,,,,2.75,6.25,,,
10363,27012565,8.20,,2.75,5.50,,,,,,
10364,27012566,8,7.25,,,,,,,6.40,N1
10365,27012567,,5.50,,,,9,9.75,9.50,,
10366,27012568,,,,,,5,5.75,,,
10367,27012569,,7.75,,,,9,9.50,,,
10368,27012570,7.60,6.50,,,,7.25,,,,
10369,27012571,,4.50,,,,3,2.75,2.25,,
10370,27012572,8.20,8.75,,,,,,,7.20,N1
10371,27012574,,4.75,,,,4.75,4.25,,,
10372,27012575,8.20,8.50,,,,9.75,9.50,,,
10373,27012576,,3.75,,,,8.25,9.25,8.75,,
10374,27012577,,,,,,4,4.75,2,,
10375,27012578,,2.50,,,,2.75,3.25,2.75,,
10376,27012579,6.20,2.75,,,,10,9.50,9.50,,
10377,27012580,8,6,,,,8.75,9,8.50,,
10378,27012581,7.80,,6,7.25,,,,,,
10379,27012582,,6.50,,,,6,6,,,
10380,27012583,,7,,,,5.50,5.25,,,
10381,27012584,,5.50,,,,3.50,6.75,8.75,,
10382,27012585,4.20,,4,3.75,4.50,,,,,
10383,27012587,5,4.50,,,,8.50,,,,
10384,27012588,,2.50,,,,5,5.75,3.50,,
10385,27012589,8.20,8.25,,,,,8.75,,,
10386,27012590,,5.25,,,,8,9.50,7.25,,
10387,27012591,,4.75,,,,6.50,5.75,,,
10388,27012592,8.20,8.25,,,,,9,,4,N1
10389,27012594,,7.50,,,,6,7.50,,,
10390,27012595,7.20,7.50,,,,8.50,9,,,
10391,27012596,,,,,,5.75,7.50,9,,
10392,27012597,,,,,,9.75,9.50,10,,
10393,27012598,9,8.25,,,,,,,5.60,N1
10394,27012599,,6.50,,,,8.50,9.25,,,
10395,27012601,,4.75,,,,5.25,4.75,,,
10396,27012602,8,,8.75,9,,,,,,
10397,27012603,,8.25,,,,9.25,9.50,,,
10398,27012604,3,5.50,,,,4.75,6.25,7.50,,
10399,27012605,9,7.25,,,,,,,7,N1
10400,27012606,8,8.25,,,,,,,8.20,N1
10401,27012607,,,,,,5,4.75,5.50,,
10402,27012608,,1.75,,,,6,7.50,,,
10403,27012609,,4,,,,4.50,8,8,,
10404,27012610,6.60,7.25,,,,9.75,9,9,,
10405,27012611,,5.75,,,,8.50,8,,,
10406,27012612,8.60,,8.75,8.25,,,,,,
10407,27012613,,4.50,,,,6.25,8.50,,,
10408,27012615,,6,,,,7,8.50,,,
10409,27012616,,8.75,,,,,,,,
10410,27012617,1.60,2.50,,,,1.75,3,,,
10411,27012618,,7.75,,,,8.25,9.25,,3.60,N1
10412,27012619,,6.75,,,,5.50,7.75,8.50,,
10413,27012620,,2.75,,,,5,6,6.50,,
10414,27012621,,6.50,,,,9.75,10,2.50,,
10415,27012622,,3,,,,8,6.50,7,,
10416,27012623,,4.50,,,,6.75,7,6.25,,
10417,27012624,7.60,,8.25,7.75,,,,,,
10418,27012625,,5.75,,,,9.25,9.50,,,
10419,27012626,,,,,,7.50,8,9.25,,
10420,27012627,5.60,7.75,2.25,4.50,,,,,,
10421,27012629,9,,,7.50,8.75,,,,,
10422,27012630,7,6.50,,,,4.25,5,7.25,2.20,N1
10423,27012631,,8.25,,,,9.50,9.25,,,
10424,27012632,8.20,8,,,,9.75,9.75,,5.20,N1
10425,27012633,,7.50,,,,10,,,9,N1
10426,27012634,,,,,,2.50,3,2.50,,
10427,27012635,4.20,5,,,,4.75,7.25,,,
10428,27012636,,8.25,,,,9.75,9.75,,,
10429,27012637,5.40,6,,,,7,8,,,
10430,27012638,8,8,,,,9.75,7,9.50,,
10431,27012639,,,,,,4,7.75,8.25,,
10432,27012640,,2,,,,3.25,6.75,6.25,,
10433,27012641,,6,,,,9,9,,,
10434,27012642,8.60,,,8.50,8.25,,,,,
10435,27012643,,7.50,,,,8.50,8.75,,,
10436,27012644,,5,,,,5.25,8.25,,,
10437,27012645,7.80,,,7.50,8.50,,,,,
10438,27012646,,5.50,,,,7.75,8.75,9.50,,
10439,27012647,,,,,,5.75,6.50,8,,
10440,27012648,,,,,,3.75,5.25,4,,
10441,27012649,8,4,,,,4,6,6.75,4.40,N1
10442,27012650,,3.75,,,,4.25,3.50,6.25,,
10443,27012651,7.80,6.75,,,,,,,3.40,N1
10444,27012652,8,6.50,5.50,3,,,,,,
10445,27012653,,5,,,,9,8.75,,,
10446,27012654,5.20,4,,,,,4.50,,3,N1
10447,27012655,,7.75,,,,8,8.75,9.75,,
10448,27012656,8,,,6.50,7.25,,,,,
10449,27012657,,5.75,,,,7.75,6.25,7.75,,
10450,27012658,,7.50,,,,10,9.25,,,
10451,27012659,,7.50,,,,8,9.25,,,
10452,27012660,,4.75,,,,5.25,7.75,,,
10453,27012661,,4.25,,,,5,6,,,
10454,27012662,,4.25,,,,5.75,5.25,,,
10455,27012663,7.80,7.50,,,,,,,3.20,N1
10456,27012665,5.80,7.75,,,,8.50,7.25,8.75,,
10457,27012666,,7.75,,,,8.50,10,,,
10458,27012667,8,,8.25,7.25,,,,,,
10459,28040751,5.20,8.25,,,,8.75,,,,
10460,28040752,,3.25,,,,2.75,2.25,,,
10461,28040753,4.20,6.50,,,,,,,4,N1
10462,28040754,5.60,4.50,,,,3.50,4.50,,,
10463,28040755,,8.25,,,,7.75,8.25,9.50,,
10464,28040756,7.40,,8.25,8.75,4.25,,,,,
10465,28040757,8.20,,7.75,7.50,7,,,,,
10466,28040758,7.60,8,,,,5.50,7.25,,,
10467,28040759,,8.50,,,,5.50,8,8.50,,
10468,28040760,,7.50,,,,,,,5.40,N1
10469,28040761,,7.50,,,,,9.25,7.50,,
10470,28040762,,8.50,,,,9.50,9,,,
10471,28040763,,6,,,,6.50,5.25,,,
10472,28040764,5.20,5.75,,,,,,,3.80,N1
10473,28040765,,8.75,,,,9.50,9.25,7.50,,
10474,28040766,4.20,,5,2.75,,,,,,
10475,28040767,,6.50,,,,6.50,7.75,,,
10476,28040768,5.40,,2.75,4.50,,,,,,
10477,28040769,,8,,,,7.25,,9.50,,
10478,28040770,2.60,2.25,,,,3.25,3.25,4.50,2,N1
10479,28040771,7.80,,7.25,8,4.75,,,,,
10480,28040772,,8.50,,,,10,9.75,9.50,,
10481,28040773,1.80,6.67,,,,5.75,6,8.50,,
10482,28040774,,6.50,,,,8.50,8,,,
10483,28040776,,8.75,,,,,8,9.25,,
10484,28040777,7,9,,,,,,,5.80,N1
10485,28040778,5.40,,5,5.50,6.50,,,,,
10486,28040779,,5.50,,,,7.25,,7.75,,
10487,28040780,3.80,7.50,,,,8.25,7.50,9.25,2.20,N1
10488,28040781,,6.50,,,,6,7.50,,,
10489,28040782,,7,,,,6.75,,9.25,,
10490,28040783,7.40,8,,,,,,,8.40,N1
10491,28040784,,7.50,,,,3.25,5,,,
10492,28040785,,8,,,,9.50,9.25,,,
10493,28040786,8.60,,7.25,5.50,,,,,,
10494,28040787,6.80,,6.25,4.75,,,,,,
10495,28040788,8.60,9,,,,,,,6.60,N1
10496,28040789,5.80,9.25,,,,,,,3.80,N1
10497,28040790,4.60,,3.25,,,,,,,
10498,28040791,2.80,4.50,,,,5.50,7.25,8.25,2.60,N1
10499,28040793,8.20,,6.75,7.50,6.25,,,,,
10500,28040794,,6.75,,,,5.50,7.50,,,
10501,28040795,5.80,8.50,3.75,3.50,5.25,,,,3.80,N1
10502,28040796,,8.50,,,,7.25,9.25,,,
10503,28040797,7.40,6,,,,,,,5.60,N1
10504,28040799,,8.50,,,,8.50,8.25,,,
10505,28040800,,8.25,,,,8.50,9.50,,,
10506,28040801,,6.75,,,,7.25,5,8,,
10507,28040802,,7.75,,,,9,9.25,9.75,,
10508,28040803,,8,,,,7,8.25,,,
10509,28040804,,8.50,,,,5.25,8,6.25,,
10510,28040805,2.80,7.25,,,,,,,1.80,N1
10511,28040806,2,8,,,,5,,,2.20,N1
10512,28040807,,8.50,,,,6,6.50,,,
10513,28040808,,6,,,,3.75,6.75,,,
10514,28040809,2.40,2.50,,,,2,2.50,3,2,N1
10515,28040810,8.20,,8,7.25,,,,,,
10516,28040812,,7,,,,9,9,,,
10517,28040813,8.20,,7.25,,,,,,4.80,N1
10518,28040814,3.20,6.50,,,,5.75,7,7.25,,
10519,28040815,,8,,,,6,6,,,
10520,28040816,,7,,,,5.25,7,,,
10521,28040817,,8,,,,9.25,9.25,,,
10522,28040818,6.60,7.50,,,,7.75,8.50,8.25,3.80,N1
10523,28040819,,7.75,,,,8,7.25,,,
10524,28040820,,8.25,,,,4.50,6.50,,,
10525,28040821,,6,,,,6.25,8.25,,,
10526,28040822,,8.50,,,,,,,,
10527,28040823,,8.75,,,,8.25,9.50,,,
10528,28040824,,8.75,,,,7.25,7.50,,,
10529,28040825,,8.75,,,,9.25,9.50,9,,
10530,28040826,,8.75,,,,9,8.25,,,
10531,28040827,,8.75,,,,8.50,8.75,,,
10532,28040828,,2.25,,,,3.75,2.25,,,
10533,28040829,,8.75,,,,8.25,7.75,,,
10534,28040830,,8.25,,,,3.75,9.50,9,,
10535,28040832,5.80,7.50,6.50,,,,,,,
10536,28040833,,8.75,,,,9.50,9.50,,,
10537,28040834,7.20,8,,,,7.25,,,,
10538,28040835,4.80,,,3.25,5.50,,,,,
10539,28040836,,7.75,,,,5.75,8,,,
10540,28040837,6.80,3,,,,2,3.75,,,
10541,28040838,7.80,,6.75,6,,,,,,
10542,28040839,,6.50,,,,9.50,9,,,
10543,28040840,9.20,,8.25,8.50,,,,,,
10544,28040842,2.60,,2.75,3.50,,,,,,
10545,28040843,7.60,,7.50,9,,,,,,
10546,28040844,,8,,,,7.25,,8.25,,
10547,28040846,8.20,8.50,,,,8.25,8.75,9,,
10548,28040847,,8,,,,,5,,,
10549,28040848,4.20,6.50,,,,7.50,8,,,
10550,28040849,6.60,,3,4,,,,,3.60,N1
10551,28040850,,7.25,,,,7.75,7.50,,,
10552,28040851,,5,,,,2.50,3.50,,,
10553,28040852,,4.75,,,,6.50,8.25,,,
10554,28040853,4.60,,,,,5.50,3.50,,2.40,N1
10555,28040854,,8.75,,,,10,9,,,
10556,28040855,,8,,,,6.50,8.75,,,
10557,28040856,7.80,,,7.75,7.25,,,,,
10558,28040858,7,8.75,,,,,,,5.20,N1
10559,28040859,,6.75,,,,8.25,6.50,,,
10560,28040860,,9,,,,6.25,7.75,9.50,,
10561,28040861,,8.75,,,,9.50,8.50,,,
10562,28040862,1.80,4,,,,3.50,2.25,,,
10563,28040863,7.60,9,,,,0,7.50,9,,
10564,28040864,8.20,,,7.25,9,,,,,
10565,28040866,6.20,,3,3.75,4.50,,,,,
10566,28040867,,8.25,,,,8.50,7.75,,,
10567,28040868,7.40,7.50,5,5.50,,,,,6,N1
10568,28040869,9,8.75,,,,,,,8.40,N1
10569,28040870,,8.25,,,,9.25,9.50,8.75,,
10570,28040872,,7.75,,,,9.75,9.25,,,
10571,28040873,8.20,8.75,,,,7.25,,,4.60,N1
10572,28040874,8.20,,7.75,,,,,,4.80,N1
10573,28040875,,8.75,,,,8.75,9.25,,,
10574,28040876,,8.50,,,,7.25,9.25,9,,
10575,28040877,5.60,,4.75,,,,,,3.60,N1
10576,28040878,,8,,,,8,7.75,,,
10577,28040879,7.20,,7.50,7.50,,,,,,
10578,28040880,,5.25,,,,5,7.50,,,
10579,28040881,,5.50,,,,5.25,5,,,
10580,28040882,7.20,9,,,,,,,5.40,N1
10581,28040883,,7.25,,,,8.50,7.75,,,
10582,28040884,,8.75,,,,9.50,9.50,7.75,,
10583,28040885,1.20,6,,,,5.25,7.25,,,
10584,28040886,2.80,4.50,,,,4.75,4.50,6.50,2.60,N1
10585,28040887,7.40,9,,,,,,,4.60,N1
10586,28040888,7.60,,,8,7.25,,,,,
10587,28040889,,8.50,,,,9.50,9.25,,,
10588,28040890,8.60,7.75,8.75,,,,,,6.40,N1
10589,28040891,,7.75,,,,4,4,,,
10590,28040892,8,,8.50,8,,,,,,
10591,28040893,3.60,7.50,,,,6.75,8.25,,,
10592,28040894,4.60,6,,,,7.25,,,,
10593,28040895,,8.50,,,,8.25,8.25,,,
10594,28040896,8.80,,8.75,8.50,,,,,,
10595,28040898,8,,7,8.75,,,,,,
10596,28040899,,6.50,,,,4.75,7,,,
10597,28040900,,5.50,,,,6.25,9,,,
10598,28040901,,8,,,,8.25,6,,,
10599,28040902,,8,,,,8.50,9.50,,,
10600,28040903,4.20,,,,,,7.50,,,
10601,28040904,,8.50,,,,8.25,9,9,,
10602,28040905,,4.75,,,,5.75,5,,,
10603,28040906,8,9.25,,,,,,,4.80,N1
10604,28040908,,9,,,,5.25,8.25,8.75,,
10605,28040909,,9,,,,7.25,7,8.25,,
10606,28040910,8.60,,,8.50,9.25,,,,,
10607,28040911,,8.50,,,,9.25,8.75,9.75,,
10608,28040912,7.20,8,5.50,7.50,,,,,,
10609,28040914,7,,6,6.25,,,,,,
10610,28040915,3.40,,,,,7.50,8.50,,2,N1
10611,28040916,2.40,,,,,,,,2.60,N1
10612,28040917,7.40,,3.50,3.75,,,,,,
10613,28040918,,4.50,,,,7.25,8.25,,,
10614,28040919,7.20,,,7.50,7.25,,,,,
10615,28040920,1.60,6,,,,1.50,4,4.25,1.80,N1
10616,28040921,7.60,,7.75,,,,,,6,N1
10617,28040922,,8,,,,9,7.75,,,
10618,28040923,,8.75,,,,5.25,8.75,10,,
10619,28040924,,5,,,,6.25,6.75,,,
10620,28040925,,9,,,,8.50,9,,,
10621,28040926,8.60,,8.75,8.75,,,,,,
10622,28040927,,7.50,,,,8.25,8,,,
10623,28040928,7.80,,7.50,7,,,,,,
10624,28040929,,9.25,,,,10,9.50,,,
10625,28040930,8.40,,,6.50,8,,,,,
10626,28040931,,6,,,,3.50,7.25,,,
10627,28040932,7.80,8,,,,,,8.75,6.20,N1
10628,28040933,,6.75,,,,5.50,5.75,,,
10629,28040934,7.80,8.75,,,,7.50,,,5.60,N1
10630,28040935,,8.75,,,,8,8.25,8.75,,
10631,28040936,8.20,8.75,,,,8.50,8,9.25,7.40,N1
10632,28040937,8,,7.25,,,,,,4.60,N1
10633,28040938,8.40,,,8.25,8.50,,,,,
10634,28040939,,7.50,,,,9.75,10,,,
10635,28040940,,7.50,,,,9.75,9.50,7.75,,
10636,28040941,7.80,4.25,8,6.75,,,,,,
10637,28040942,4.80,8.25,,,,6.25,4.75,,,
10638,28040943,,8,,,,8,8.50,,,
10639,28040944,,9,,,,9.25,8.75,,,
10640,28040945,4.80,8.75,,,,7.25,7.75,8.50,,
10641,28040946,,8,,,,9.75,9.50,,,
10642,28040947,8,,5.75,6.25,,,,,,
10643,28040948,7.80,,7.75,6.75,,,,,,
10644,28040949,7.80,,7.75,7.75,,,,,,
10645,28040950,,,1.75,3.25,,,,,3,N1
10646,28040951,,7.50,,,,5.75,7.25,,,
10647,28040952,8.20,,7.50,9,,,,,,
10648,28040953,,5,,,,5,7,,,
10649,28040954,,8,,,,7,9,,,
10650,28040955,7.60,9.25,,,,,,,3.80,N1
10651,28040956,,5.50,,,,4.50,4.75,,,
10652,28040957,2.60,5.50,,,,,4.25,,2.60,N1
10653,28040958,7.40,8,7,7.25,,,,,,
10654,28040959,,5.50,,,,4.25,5.50,,,
10655,28040960,,6.25,,,,6.25,8.25,,,
10656,28040961,7.60,,,7.75,7,,,,,
10657,28040962,,8.50,,,,7,7,9,,
10658,28040963,,9,,,,9,8.75,9,,
10659,28040964,,6.25,,,,2.25,5.25,,,
10660,28040965,,6,,,,7.50,7.25,,,
10661,28040966,7.20,9.25,,,,,,,7.60,N1
10662,28040967,,6,,,,2.50,4.25,,,
10663,28040968,,5,,,,4,5.25,,,
10664,28040969,,9.25,,,,10,9.50,,,
10665,28040970,,8.25,,,,9.75,9.75,,,
10666,28040971,,7,,,,2.75,7,,,
10667,28040972,8.40,8.75,,,,,,,4,N1
10668,28040973,8,9,,,,6,6,9.25,5.80,N1
10669,28040974,,8.75,,,,9,8,9.75,,
10670,28040975,8.80,9,,,,,,,6.80,N1
10671,28040976,,7.50,,,,9,9.25,6.50,,
10672,28040977,,9,,,,8.75,9.75,,,
10673,28040978,8,,8.50,7.25,,,,,,
10674,28040979,,8.25,,,,5,8.25,,,
10675,28040980,6.80,8.25,,4.75,7.25,,,,,
10676,28040981,,7.50,,,,6.75,9,,,
10677,28040982,,4.50,,,,5,4.25,,,
10678,28040983,7.40,8.25,,,,,,,4,N1
10679,28040984,2.40,5.50,,,,2.75,4.75,5.25,2.40,N1
10680,28040985,8.20,8.50,,,,,,,8.60,N1
10681,28040987,7,8.25,,,,,,,4,N1
10682,28040988,,7.75,,,,6.25,7,,,
10683,28040989,,8,,,,8.25,8.50,,,
10684,28040990,7.80,2,7.25,7.25,,,,,,
10685,28040991,6.40,,4.50,4.75,4.50,,,,,
10686,28040992,,5.50,,,,2.75,4.75,,,
10687,28040993,7,8.50,,,,9.50,9.25,,,
10688,28040995,7.60,8.75,,,,,,,6.20,N1
10689,28040997,7.60,,,7.75,8.75,,,,,
10690,28040998,,9.25,,,,9.25,9,,,
10691,28040999,,8.50,,,,,7.50,8.75,,
10692,28041000,,8.75,,,,8.50,7.50,9.75,,
10693,28041001,,5.50,,,,5,6.50,,,
10694,28041002,8,8.50,,,,9.50,,,,
10695,28041003,8,,8.25,,,,,,7.20,N1
10696,28041004,,6.50,,,,4,5.25,,,
10697,28041005,7.60,,7,6.50,,,,,,
10698,28041006,8.20,,8.50,,,,,,7.80,N1
10699,28041007,,5,,,,4,7,,,
10700,28041008,,8.25,,,,9,9.75,,,
10701,28041011,,4.50,,,,3.50,5,,,
10702,28041012,,7.50,,,,9.25,9.50,,,
10703,28041013,,7,,,,3.25,5.25,,,
10704,28041014,8.20,9.25,,,,,,,5.60,N1
10705,28041015,,7,,,,9.75,8.75,,,
10706,28041016,7.40,,,7,6.75,,,,,
10707,28041017,7.40,,6.75,5,,,,,,
10708,28041018,,7.25,,,,,,5.50,,
10709,28041019,7.60,,5.25,5.75,,,,,,
10710,28041020,,9,,,,9.25,8.50,6.75,,
10711,28041021,,9.25,,,,8.75,8.50,,,
10712,28041022,,8.50,,,,8.25,7.50,,,
10713,28041023,,8.50,,,,8.75,8.50,7.75,,
10714,28041024,,8,,,,9.50,9,,,
10715,28041027,7.40,8.50,,,,,,,5.20,N1
10716,28041028,5.80,,4.50,5.25,,,,,,
10717,28041029,7.40,8.75,,,,,9.75,,7.40,N1
10718,28041030,8.60,7.50,,,,8.50,8.50,,3,N1
10719,28041031,6.80,9,,,,10,9.25,,,
10720,28041032,7.20,9,,,,8.50,7.50,,,
10721,28041033,6.40,7.50,,,,8.50,8.25,,,
10722,28041034,7.60,9,,,,,,,6.60,N5
10723,28041035,,6,,,,5,6.75,,,
10724,28041036,,9.50,,,,10,9.25,,,
10725,28041037,,6.75,,,,6.50,7.75,,,
10726,28041038,4.60,7,,,,6.75,8.25,,,
10727,28041039,5.20,7.50,,,,4.75,6.25,,2.20,N1
10728,28041040,7.40,7.50,7.50,7.50,,,,,,
10729,28041041,,6.50,,,,3,4.25,,,
10730,28041042,,8,,,,8.50,8,,,
10731,28041043,7,6,,,,9.50,,,,
10732,28041044,7,,,3.75,5.75,,,,,
10733,28041045,,8.50,,,,9.25,9.25,9.25,,
10734,28041046,,4,,,,4,5,,,
10735,28041048,,6.50,,,,8,5.25,,,
10736,28041049,,6.50,,,,9.50,8.50,,,
10737,28041050,7.60,,,8,7.75,,,,,
10738,28041052,,5.50,,,,2.75,6,,,
10739,28041053,5,8.50,,,,7,,,5.80,N1
10740,28041054,5.20,6,,,,7.50,6,,,
10741,28041055,6.80,,,,,,,,6.40,N1
10742,28041056,,7.50,,,,7,7,,,
10743,28041057,6.40,,5.25,3.25,,,,,,
10744,28041058,4.40,,4.50,7.75,2.50,,,,4,N1
10745,28041059,,7,,,,7.75,8.50,,,
10746,28041060,,7.25,,,,6.75,6.50,,,
10747,28041061,,6,,,,5.25,5.50,,,
10748,28041062,,8,,,,9.75,9.75,,,
10749,28041063,4.80,7,,,,5.25,6,6,3.60,N1
10750,28041064,4.80,6,,,,7,7,,,
10751,28041065,7.80,,,8,,,,,7.40,N1
10752,28041066,6.20,,5,,,,,,5.20,N1
10753,28041067,,7,,,,8.75,8.75,,,
10754,28041068,,5,,,,6.50,6,,,
10755,28041070,7,7.25,,,,,,,6.80,N4
10756,28041071,,8.25,,,,8.25,9.50,9.25,,
10757,28041072,,5,,,,5.50,4.75,,,
10758,28041073,5.80,7.75,,,,9.25,9,,,
10759,28041074,3,6.50,,,,8.50,8.50,,,
10760,28041075,,6.75,,,,5.25,6.75,,,
10761,28041076,,5.25,,,,3.25,6.25,,,
10762,28041077,7.60,6.50,,,,,,,7,N1
10763,28041078,,8.50,,,,9,8.75,10,,
10764,28041079,7.60,8.75,,,,,,,6.60,N1
10765,28041080,6.60,7.25,,,,4.50,,8.50,,
10766,28041081,,6.25,,,,3.25,5.75,,,
10767,28041082,,5,,,,6,6.25,,,
10768,28041083,7.60,8.25,,5.75,6,,,,,
10769,28041085,8.40,7.50,,,,6.25,,,,
10770,28041086,,8.50,,,,,,,,
10771,28041087,7.20,,,7.75,,,,,7.40,N1
10772,28041088,7.80,,5.75,4.50,,,,,,
10773,28041089,8.40,9,,,,,,,5.60,N1
10774,28041090,,8.50,,,,9.25,10,9.50,,
10775,28041091,,8,,,,8.50,8.50,,,
10776,28041092,,7,,,,7.75,6.75,,,
10777,28041093,2.80,6.50,,,,6.50,6.50,,,
10778,28041094,,6,,,,6.25,5.75,,,
10779,28041095,8,,7.25,8,,,,,,
10780,28041096,,8.50,,,,,,,,
10781,28041097,,8.50,,,,8.50,9.50,,,
10782,28041098,,8,,,,5.25,7.50,8.50,,
10783,28041099,,8.75,,,,9.75,10,9.25,,
10784,28041100,,7.50,,,,8.75,9.25,,,
10785,28041101,3.40,7.75,,,,,,,2.60,N1
10786,28041102,9.20,,9.25,3,,,,,9,N1
10787,28041103,8,8.50,,,,,,,5.60,N1
10788,28041104,6.60,8.75,,,,8.75,7.25,,,
10789,28041105,,8.75,,,,7.75,9,,,
10790,28041106,2.60,,,,,,4.25,,2.60,N1
10791,28041107,7.80,,7.50,5,,,,,,
10792,28041108,7.20,,7.50,8.25,,,,,,
10793,28041109,7.60,8.50,,,,8.25,9.25,,,
10794,28041110,,8,,,,4.25,7,,,
10795,28041112,,7.50,,,,8.50,9,5.75,,
10796,28041113,,5.75,,,,7.25,5.75,,,
10797,28041114,3.20,5.50,,,,6,,,,
10798,28041115,8.40,,6.50,7.25,,,,,,
10799,28041116,6.60,7.25,2.75,4,,,,,,
10800,28041117,8.20,6.50,,,,,,,5.80,N1
10801,28041118,6.60,8,,,,,,,5.80,N1
10802,28041119,7,,6.75,5.75,,,,,,
10803,28041120,2.80,5,,,,4,,,,
10804,28041121,,6.50,,,,7.50,7.25,,,
10805,28041122,,8.50,,,,9,8,9,,
10806,28041123,7,8,,4.75,,,,,4.20,N1
10807,28041124,7.80,8.50,,,,,,,7.40,N1
10808,28041125,7,,5.75,5,,,,,,
10809,28041126,,7,,,,9,9.50,,,
10810,28041127,,7.50,,,,9.75,8.75,,,
10811,28041128,,8,,,,8.50,8.75,,,
10812,28041129,,8.75,,,,9.75,10,,,
10813,28041130,,8.25,,,,7,8.75,8.25,,
10814,28041131,8.40,,9.25,9.50,,,,,,
10815,28041132,8,,8,7,1.50,,,,,
10816,28041133,5.40,,,3.75,5.75,,,,,
10817,28041135,8,,3,5.25,,,,,,
10818,28041136,8.40,9.50,,,,9.50,9.50,,7.20,N1
10819,28041137,8.60,7.50,,,,,,,6.60,N1
10820,28041138,,6.25,,,,6.50,7.25,,,
10821,28041139,8.20,,6.75,7.50,,,,,,
10822,28041140,,7,,,,8.25,8.75,,,
10823,28041141,8.20,,6.50,7.50,,,,,,
10824,28041142,,9,,,,9,9.50,,,
10825,28041143,,6.25,,,,4,5.25,,,
10826,28041144,,6,,,,4.50,6.75,,,
10827,28041145,7.80,7,,,,,,7,,
10828,28041146,8,6,5.75,7,,,,,,
10829,28041147,4.80,6.50,,,,5.50,7.25,,,
10830,28041148,,5.75,,,,3.75,4.25,,,
10831,28041149,8.60,,,8,8,,,,,
10832,28041150,,8.25,,,,,9.25,9.25,,
10833,28041151,,8.25,,,,7.50,8,9.25,,
10834,28041152,,8.25,,,,8.75,9,,,
10835,28041153,,8.50,,,,7.75,7.50,8,,
10836,28041154,7,,5.25,5.50,,,,,,
10837,28041155,8.20,,7.75,8.75,3,,,,,
10838,28041156,7.80,8,,,,,9,,,
10839,28041157,,5.75,,,,4.50,3.75,,,
10840,28041158,3.40,4,,,,9,9,,,
10841,28041159,8.20,,6.50,6.75,,,,,,
10842,28041160,,6.50,,,,6.75,8.50,,,
10843,28041161,,7.50,,,,8.25,7.75,,,
10844,28041162,,6,,,,5.75,7.75,,,
10845,28041164,,7.25,,,,6.50,9.75,8.75,,
10846,28041165,7.60,,7.25,6.75,,,,,,
10847,28041166,,6.50,,,,5.25,5.75,,,
10848,28041167,4.80,,3.50,,,,,,3.20,N1
10849,28041168,8.40,,8,7.50,,,,,,
10850,28041169,,6,,,,6.50,7.50,,,
10851,28041170,7.80,,7.25,8,,,,,,
10852,28041171,,8,,,,8.25,9.25,,,
10853,28041172,,8.50,,,,9.25,9.50,8.75,,
10854,28041173,,8.75,,,,6.75,,,7.80,N1
10855,28041174,,5.50,,,,5,7.50,,,
10856,28041175,,5.50,,,,4.50,5.25,,,
10857,28041176,,3.25,,,,5.50,6.50,,,
10858,28041177,2,4.50,,,,4.50,,,,
10859,28041178,7,6.25,5.50,6.25,,,,,,
10860,28041179,,4.25,,,,5,5.25,,,
10861,28041180,,8.50,,,,8.75,9,,,
10862,28041181,5.60,,6.75,6,,,,,,
10863,28041182,9,8.25,,,,9.75,9.75,,,
10864,28041183,8.40,8.50,,,,,,,8.20,N1
10865,28041184,,5,,,,3.50,5,,,
10866,28041185,,6.25,,,,9.25,9,9.50,,
10867,28041186,7.80,,7.75,7.25,,,,,,
10868,28041187,8.80,8.75,,,,,,,7.20,N1
10869,28041188,,5,,,,5.50,5.75,,,
10870,28041189,7.40,2,4,5,,,,,4.80,N1
10871,28041190,,6,,,,5.25,6,7.50,,
10872,28041191,,8.75,,,,7.75,9.25,,,
10873,28041193,,7,,,,8.25,8,8.25,,
10874,28041194,7,6.25,,,,,,,4.60,N1
10875,28041195,8.40,8,,,,,,,5.20,N1
10876,28041196,7,7.50,,,,,,,2.60,N1
10877,28041197,,8,,,,9.25,8.25,,,
10878,28041198,7.80,,8.50,7,,,,,,
10879,28041199,,8,,,,9.75,8.75,,,
10880,28041200,,6.50,,,,7,7.50,7.75,,
10881,28041201,5.80,8,,,,6.50,8.75,,,
10882,28041202,,7.50,,,,9.75,9.75,7.25,,
10883,28041203,2.40,,,,,,,,,
10884,28041204,8.40,7.50,,,,,,,7.20,N1
10885,28041205,4,,,,,6,5,,,
10886,28041206,,9,,,,8,7.25,,,
10887,28041207,7.40,7.75,,,,2.75,5.75,,4,N1
10888,28041208,8,,7,,,,,,8.20,N1
10889,28041209,4.80,6,,,,4.50,,,,
10890,28041210,7.60,8.50,,,,,,,6.40,N1
10891,28041211,6.80,9,,,,,,,5.80,N1
10892,28041212,7.20,,5.75,5.25,3.75,,,,,
10893,28041213,,7,,,,6.50,3,8.25,,
