STT,SOBAODANH,Toán,Văn,Lí,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ
374,01018400,,7,,,,6.50,5.25,,,
375,01018402,,9,,,,,,,,
376,01018403,,7.25,,,,4.50,6.75,,,
377,01018404,6.60,6.50,,,,8,8.50,8.50,,
378,01018405,7.60,7,,,,,,,5,N1
379,01018406,4.40,6.50,,,,5.25,6.75,8.50,,
380,01018407,7.20,8.50,,,,7,7.50,7.75,6.60,N1
381,01018408,3.20,,3,3.50,,,,,,
382,01018409,3,7,,,,6.25,8,6.50,,
383,01018410,,6.50,,,,7.75,6.50,9.25,5.60,N1
384,01018411,,6.50,,,,8.25,7.25,,,
385,01018412,5.40,6.50,,,,,,,4.80,N1
386,01018414,8.80,7.75,9.25,,,,,,,
387,01018415,7.20,7,,,,,,,7.20,N1
388,01018416,8.20,,,8.25,8.75,,,,,
389,01018417,,7.75,,,,6,7.25,,,
390,01018418,6.20,7.50,,,,,,,5,N1
391,01018419,7.40,7.75,,,,,,,7.80,N1
392,01018420,,7.50,,,,8,7,,,
393,01018422,,8.25,,,,9.75,10,9,,
394,01018423,,8.25,,,,7.75,8.25,,,
395,01018424,8.40,9,8.50,2.75,2.50,,,,8,N1
396,01018425,8,8.75,,,,,,,6.80,N1
397,01018426,9.40,8.50,7.50,6.25,7.75,,,,,
398,01018427,8.20,,7.25,,,,,,8.20,N1
399,01018428,,6.25,,,,8.50,7.75,,,
400,01018430,,4.50,,,,,,,,
401,01018431,,4.75,,,,7.75,7,,,
402,01018432,8,8.50,,,,,,,8.60,N1
403,01018433,2.80,5.50,,,,4.75,,,,
404,01018435,8.20,,,9.50,8.25,,,,,
405,01018436,8.20,9,,,,8.50,,,,
406,01018437,5.60,7,,,,6.50,,,7.60,N1
407,01018438,8.80,9.25,,,,,,,8.40,N1
408,01018439,,8,,,,9.75,8.50,7,5.80,N1
409,01018440,8,9.25,,,,,,,7.20,N1
410,01018441,,8.75,,,,,,,,
411,01018442,4.80,7,,,,,,,,
412,01018443,6.80,8,,,,,,,3.60,N1
413,01018445,5.20,9.50,,,,3.75,5.50,7.50,,
414,01018447,7.80,,4,,,,,,4.60,N1
415,01018448,,7,,,,7.75,8.25,,,
416,01018450,,9.75,,,,7.50,8.50,,,
417,01018451,3.80,6,,,,2.50,4.50,8.50,2.60,N1
418,01018452,4.80,8.25,,,,6.75,,,,
419,01018453,2.20,5.25,,,,3.25,4,,,
420,01018454,,6.25,,,,6.75,7.75,,,
421,01018455,,6.75,,,,6.25,7.50,,,
422,01018456,,6.25,,,,5.75,7.75,7,,
423,01018458,7.80,7.75,,,,,,,7.20,N1
424,01018459,4.60,7.25,,,,,,,4.20,N1
425,01018460,8.20,,5.50,9,8.25,,,,,
426,01018461,,9.50,,,,8.25,,,8.60,N1
427,01018462,3.40,6.50,,,,7.25,,5.25,,
428,01018463,8,,8.75,7.75,,,,,,
429,01018464,6.80,7,,,,6.50,7.25,,,
430,01018465,9.40,,3.25,9.75,8.75,,,,,
431,01018467,,2.50,,,,4.75,5.25,,,
432,01018469,6.80,8.75,,,,,,,5.40,N1
433,01018470,6.80,9,,,,,,,5,N1
434,01018472,3.20,9,,,,9.25,9,7.50,,
435,01018473,7.80,8.75,,,,7.25,,,6.40,N1
436,01018475,,8.50,,,,,,,,
437,01018476,,9,,,,,,,,
438,01018477,,9,,,,10,8.50,,,
439,01018478,8.60,4.25,8.50,8.75,3,,,,,
440,01018479,,5.75,,,,7.75,8,6.50,,
441,01018480,5.20,7.25,,,,8,7,8.25,7,N1
442,01018481,,7,,,,5,6.50,8.75,,
443,01018482,,7,,,,6.50,6.50,,,
444,01018483,5.40,8.25,,,,5.75,,,4.80,N1
445,01018484,7.60,7.50,,,,,8,9.25,7.60,N1
446,01018485,,5.75,,,,6,7.75,8.25,,
447,01018486,5,7.75,,,,6.25,6.75,8.25,,
448,01018487,7,,8.75,4,5,,,,7,N1
449,01018488,6.20,6.50,,,,,,,4,N1
450,01018489,8,7.50,,,,,,,8.40,N1
451,01018490,7.40,9.25,,,,,,,7.40,N1
452,01018491,,7.75,,,,,,,,
453,01018492,8.40,9.25,,,,6,8,7.75,7.80,N1
454,01018493,7.60,,,6.50,7.50,,,,,
455,01018494,,8.75,,,,6.50,9.75,,7.60,N1
456,01018495,7.60,8.25,,,,,,,4.60,N1
457,01018497,8.60,,,,,,,,9.20,N1
458,01018498,,7.75,,,,,,,,
459,01018499,,1.25,,,,5,5.75,,,
460,01018500,7.60,,6.25,3.25,,,,,7,N1
461,01018501,7.40,8.25,,,,,,,7,N1
462,01018502,,5.75,,,,3.75,6.50,,,
463,01018503,,7,,,,8.25,9.25,,,
464,01018504,,7.25,,,,6.50,8,,,
465,01018506,5.60,7.75,,,,,,,,
466,01018507,,7.50,,,,4,6.25,,,
467,01018508,,6,,,,5.50,7.75,8.25,,
468,01018509,5.60,9.50,,,,,8.25,,8.20,N1
469,01018510,9,,7.50,6.25,4.25,,,,6.20,N1
470,01018511,,6.25,,,,,,,,
471,01018512,7,8.50,,,,4.50,8.50,6.25,4,N4
472,01018513,7,8.75,,,,,,,7.40,N1
473,01018514,,9.25,,,,8.25,8.50,,,
474,01018515,7.20,8,,,,,,,4,N1
475,01018516,7.60,9.25,,,,,,,8.60,N1
476,01018517,5.60,8,,,,,,,6,N1
477,01018518,,7.25,,,,6.75,7.25,,,
478,01018519,5.40,5.75,,,,4.75,6.50,8.50,5.20,N1
479,01018520,,2.75,,,,3.75,5.75,6.50,,
480,01018521,5.20,5.50,,,,4.25,6.25,,,
481,01018522,8,,8.75,2.75,2.50,,,,,
482,01018523,4.80,3.50,,,,,,,,
483,01018524,8,8,,,,,,,9.20,N6
484,01018525,,7.25,,,,7.75,8,6.50,,
485,01018526,5.80,,2,,,,,,6,N1
486,01018527,7.20,8.75,,,,,,,9.60,N7
487,01018528,8,,7.50,7,,,,,,
488,01018529,7,,6,,,,,,,
489,01018530,,4.25,,,,5.25,6.50,7.75,,
490,01018531,,5,,,,4.75,5.50,,,
491,01018532,,4,,,,7.50,7.75,,,
492,01018533,8.40,,5,,,,,,8.40,N1
493,01018534,5,7.25,,,,4.25,8,,5.20,N1
494,01018535,2.80,5.50,,,,4.75,3.75,7,,
495,01018537,6.60,6.50,,,,3.75,,6,,
496,01018538,,5.25,,,,4.50,5,7,,
497,01018539,3.60,5.75,,,,5.50,6.50,,,
498,01018540,,9.25,,,,7.75,6.75,8.50,,
499,01018542,,8,,,,9,9,,,
500,01018543,8.40,,7.75,7.75,,,,,,
501,01018546,5.60,8.50,,,,4.50,,7,,
502,01018547,6.40,8.25,,,,,,,8.20,N1
503,01018548,7.60,9.50,,,,,,,5.80,N1
504,01018549,7.60,,4.50,6.25,,,,,,
505,01018550,8.60,9.25,,,,,,,7.20,N1
506,01018551,7.20,9,,,,,4.75,,7.20,N1
507,01018552,8.20,8.75,,,,,,,6,N1
508,01018553,6.60,7.50,,,,8.75,,,7.40,N1
509,01018554,,4,,,,5.50,5,6.50,,
510,01018555,8.20,8,,,,,,,7.60,N1
511,01018556,4,,3,4.25,,,,,,
512,01018557,7.40,8.50,,,,,,,7,N1
513,01018558,,7.25,,,,6.50,6.25,,,
514,01018559,,7,,,,7.25,7.50,7.75,,
515,01018560,,5.50,,,,5.50,5.75,,,
516,01018562,7.80,,3.25,8,7,,,,,
517,01018563,8,6.75,,,,,,,6.60,N1
518,01018564,,4,,,,7.50,8,,,
519,01018565,7.80,6,7.50,3.25,2,,,,7.60,N1
520,01018567,,4,,,,4.25,6.75,,,
521,01018569,4.60,,4.50,,,,,,6.40,N1
522,01018570,,5.75,,,,4.25,7.25,,,
523,01018571,,5.25,,,,5.75,8.75,8.75,,
524,01018572,7.80,9.25,,,,6,9,,7.20,N1
525,01018573,8,8,,,,6,8.50,7.75,7,N1
526,01018574,3,5.50,,,,4,4.75,7,,
527,01018575,,5.50,,,,4.75,8,,,
528,01018576,5.40,6.75,,,,3.75,5.25,7.50,,
529,01018577,8,,5,5,,,,,5.40,N1
530,01018579,,3.25,,,,5,8,,,
531,01018580,,4.25,,,,6,7.75,,,
532,01018581,6.20,8.50,,,,9.25,9,,,
533,01018582,4.80,6,,,,6.25,7.25,8.25,,
534,01018583,7.80,,,8.75,8.50,,,,,
